epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1855.58,0.00355,0.99502,0.88278,0.93497,1,0.995,0.91846,0.00346,0.74167,0.90214,3.7232e-05,3.7232e-05,3.7232e-05
42,1900.84,0.00391,1.04591,0.88942,0.94756,1,0.995,0.90424,0.00332,0.7639,0.89547,3.36878e-05,3.36878e-05,3.36878e-05
43,1946.42,0.00367,1.01768,0.91127,0.9571,1,0.995,0.92198,0.00325,0.77904,0.89263,3.01436e-05,3.01436e-05,3.01436e-05
44,1991.86,0.00318,1.02179,0.91644,0.95938,1,0.995,0.92199,0.00311,0.76555,0.88731,2.65994e-05,2.65994e-05,2.65994e-05
45,2036.94,0.00328,0.98465,0.88059,0.95962,1,0.995,0.92514,0.0031,0.7481,0.88708,2.30552e-05,2.30552e-05,2.30552e-05
46,2082.61,0.00303,0.91645,0.83407,0.96814,1,0.995,0.93942,0.00311,0.71909,0.88759,1.9511e-05,1.9511e-05,1.9511e-05
47,2128.24,0.00325,0.92365,0.90798,0.97115,1,0.995,0.9394,0.00311,0.71252,0.88747,1.59668e-05,1.59668e-05,1.59668e-05
48,2173.89,0.00346,0.91934,0.89305,0.97096,1,0.995,0.93941,0.00308,0.70725,0.88696,1.24226e-05,1.24226e-05,1.24226e-05
49,2219.73,0.00353,0.92039,0.90292,0.97096,1,0.995,0.93939,0.00308,0.70615,0.88724,8.8784e-06,8.8784e-06,8.8784e-06
50,2265.6,0.00326,0.93191,0.87427,0.97102,1,0.995,0.93939,0.00307,0.70625,0.88718,5.3342e-06,5.3342e-06,5.3342e-06
