epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2458,0.00835,8.16397,1.34719,0.61898,0.22222,0.13232,0.09499,0.00512,7.42389,1.13022,8.95e-06,8.95e-06,8.95e-06
2,93.9767,0.00695,6.19942,1.25359,0.5927,0.22222,0.08379,0.05043,0.0051,7.04479,1.12013,1.93001e-05,1.93001e-05,1.93001e-05
3,140.587,0.00635,5.42007,1.17871,0.47501,0.22222,0.08124,0.04898,0.00461,8.16135,1.058,2.9225e-05,2.9225e-05,2.9225e-05
4,186.923,0.00576,5.10504,1.14552,0.58439,0.22222,0.06015,0.03193,0.00457,8.27686,1.01349,3.87245e-05,3.87245e-05,3.87245e-05
5,233.265,0.00564,4.61501,1.09325,0.0266,0.33333,0.09318,0.07268,0.00455,8.77144,0.99596,4.77987e-05,4.77987e-05,4.77987e-05
6,279.544,0.00535,4.4235,1.05545,0.19539,0.44444,0.23954,0.20269,0.0044,8.22865,1.00678,5.64476e-05,5.64476e-05,5.64476e-05
7,325.806,0.00563,3.96243,1.10279,0.08395,0.77778,0.2974,0.25108,0.0043,6.49907,0.97325,6.46713e-05,6.46713e-05,6.46713e-05
8,371.279,0.00543,3.77804,1.05722,0.09061,0.88889,0.32026,0.2762,0.00416,6.05569,0.95188,7.24696e-05,7.24696e-05,7.24696e-05
9,419.984,0.00478,3.65231,1.01013,0.09124,0.88889,0.4104,0.35907,0.00394,5.2503,0.92117,7.98426e-05,7.98426e-05,7.98426e-05
10,468.583,0.00498,3.51732,1.07504,0.59435,0.38413,0.43953,0.39834,0.00386,4.75443,0.90781,8.67903e-05,8.67903e-05,8.67903e-05
11,515.618,0.00499,3.31758,1.06948,0.52719,0.49671,0.57772,0.5089,0.00373,4.50441,0.90964,9.33127e-05,9.33127e-05,9.33127e-05
12,562.523,0.00493,3.23019,1.07521,0.55185,0.49887,0.51037,0.44828,0.00394,4.51951,0.95968,9.94098e-05,9.94098e-05,9.94098e-05
13,609.397,0.00523,3.1741,1.0603,0.1057,0.77778,0.5712,0.48092,0.00436,4.52383,0.99525,0.000105082,0.000105082,0.000105082
14,656.075,0.0057,3.11139,1.08935,0.52489,0.57248,0.61713,0.52225,0.00457,4.2633,0.98767,0.000110328,0.000110328,0.000110328
15,702.719,0.00482,2.79496,1.01736,0.52037,0.60512,0.61713,0.53331,0.00443,4.21014,0.97436,0.000115149,0.000115149,0.000115149
16,748.418,0.00521,2.77209,1.0311,0.62747,0.51637,0.68176,0.59147,0.00395,4.01254,0.93852,0.000119545,0.000119545,0.000119545
17,794.135,0.005,2.71045,1.08308,0.53396,0.53191,0.70009,0.60797,0.00376,3.88183,0.92878,0.000122293,0.000122293,0.000122293
18,841.06,0.00498,2.57522,1.00708,0.44836,0.76338,0.68176,0.59147,0.00364,3.65643,0.92619,0.000118749,0.000118749,0.000118749
19,887.742,0.0047,2.50115,1.02183,0.39769,0.67616,0.68176,0.59147,0.00371,3.64996,0.92929,0.000115204,0.000115204,0.000115204
20,934.335,0.00497,2.38534,1.07536,0.50274,0.55556,0.71861,0.62464,0.00391,3.63268,0.93901,0.00011166,0.00011166,0.00011166
