epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7106,0.00835,8.16397,1.34719,0.78369,0.14286,0.15053,0.12176,0.00451,7.38727,0.98726,8.95e-06,8.95e-06,8.95e-06
2,92.6372,0.00695,6.19942,1.25359,0.84214,0.14286,0.2051,0.13091,0.00471,6.93529,0.98257,1.93001e-05,1.93001e-05,1.93001e-05
3,138.885,0.00635,5.42007,1.17871,0.65979,0.14286,0.25477,0.21424,0.00436,8.08633,0.94438,2.9225e-05,2.9225e-05,2.9225e-05
4,185.08,0.00576,5.10504,1.14552,0.83761,0.14286,0.24517,0.20902,0.00435,8.41788,0.95475,3.87245e-05,3.87245e-05,3.87245e-05
5,231.091,0.00564,4.61501,1.09325,0.09592,0.66667,0.24583,0.20825,0.00447,8.75867,0.97965,4.77987e-05,4.77987e-05,4.77987e-05
6,277.237,0.00535,4.4235,1.05545,0.09004,0.66667,0.17049,0.15013,0.00467,8.63207,0.99698,5.64476e-05,5.64476e-05,5.64476e-05
7,323.283,0.00563,3.96243,1.10279,0.09215,0.71429,0.20176,0.17602,0.00458,6.6565,0.97147,6.46713e-05,6.46713e-05,6.46713e-05
8,368.52,0.00543,3.77804,1.05722,0.10533,1,0.30046,0.26932,0.00423,6.62814,0.94827,7.24696e-05,7.24696e-05,7.24696e-05
9,413.588,0.00478,3.65231,1.01013,0.99214,0.14286,0.27994,0.24799,0.00394,5.8668,0.92961,7.98426e-05,7.98426e-05,7.98426e-05
10,458.415,0.00498,3.51732,1.07504,0.84675,0.14286,0.26914,0.25348,0.00392,5.53044,0.93451,8.67903e-05,8.67903e-05,8.67903e-05
11,503.47,0.00499,3.31758,1.06948,0.09757,0.69048,0.2081,0.19237,0.00374,5.38552,0.94444,9.33127e-05,9.33127e-05,9.33127e-05
12,548.67,0.00493,3.23019,1.07521,0.14557,0.69048,0.19049,0.17415,0.00395,5.55154,0.99564,9.94098e-05,9.94098e-05,9.94098e-05
13,593.884,0.00523,3.1741,1.0603,0.08827,0.61905,0.15133,0.13164,0.0043,5.66034,1.01136,0.000105082,0.000105082,0.000105082
14,638.848,0.0057,3.11139,1.08935,0.09072,0.61905,0.14625,0.12762,0.00436,5.31317,0.97621,0.000110328,0.000110328,0.000110328
15,684.51,0.00482,2.79496,1.01736,0.10283,0.61905,0.14545,0.12593,0.00423,5.14435,0.96464,0.000115149,0.000115149,0.000115149
16,729.549,0.00521,2.77209,1.0311,0.07568,0.57143,0.12911,0.12272,0.00382,5.05072,0.9323,0.000119545,0.000119545,0.000119545
17,774.848,0.005,2.71045,1.08308,0.06934,0.57143,0.1303,0.11371,0.00375,5.02211,0.91799,0.000122293,0.000122293,0.000122293
18,819.746,0.00498,2.57522,1.00708,0.07381,0.57143,0.20983,0.18682,0.00378,5.10823,0.91257,0.000118749,0.000118749,0.000118749
19,864.515,0.0047,2.50115,1.02183,0.06973,0.57143,0.20769,0.18692,0.00384,5.24441,0.90943,0.000115204,0.000115204,0.000115204
20,909.612,0.00497,2.38534,1.07536,0.09462,0.47619,0.14971,0.13236,0.00399,5.48173,0.92572,0.00011166,0.00011166,0.00011166
21,954.589,0.00493,2.37724,1.05776,0.08433,0.47619,0.12472,0.10987,0.00406,5.54069,0.93763,0.000108116,0.000108116,0.000108116
22,999.41,0.00493,2.14361,1.05464,0.05612,0.33333,0.11071,0.09737,0.00417,5.28201,0.94778,0.000104572,0.000104572,0.000104572
23,1044.67,0.00494,2.00208,1.05772,0.05556,0.33333,0.10564,0.0928,0.00422,5.20473,0.95773,0.000101028,0.000101028,0.000101028
24,1089.58,0.00473,1.98485,0.99438,0.06385,0.33333,0.1,0.09117,0.00398,5.12676,0.94211,9.74834e-05,9.74834e-05,9.74834e-05
25,1134.38,0.00482,2.13021,1.03879,0.07109,0.33333,0.0965,0.08786,0.00387,5.12315,0.93635,9.39392e-05,9.39392e-05,9.39392e-05
26,1179.4,0.00468,1.83969,0.95968,0.07143,0.33333,0.09759,0.08924,0.00378,5.11236,0.93377,9.0395e-05,9.0395e-05,9.0395e-05
27,1224.65,0.00464,1.85012,1.04604,0.07109,0.33333,0.09759,0.08924,0.0037,5.15127,0.93041,8.68508e-05,8.68508e-05,8.68508e-05
28,1269.92,0.00478,1.70254,0.99456,0.05699,0.2619,0.06769,0.06186,0.00375,5.24694,0.9399,8.33066e-05,8.33066e-05,8.33066e-05
29,1314.68,0.00457,1.73923,1.02359,0.05604,0.2619,0.05703,0.0512,0.00385,5.29984,0.94191,7.97624e-05,7.97624e-05,7.97624e-05
30,1359.69,0.00458,1.64833,0.99935,0.05238,0.11905,0.04165,0.03534,0.00388,5.31109,0.94122,7.62182e-05,7.62182e-05,7.62182e-05
31,1404.99,0.00481,1.5871,1.02653,0.02857,0.04762,0.02144,0.01715,0.00386,5.30533,0.93668,7.2674e-05,7.2674e-05,7.2674e-05
32,1449.94,0.00458,1.59473,1.00533,0.03571,0.04762,0.02381,0.01667,0.00383,5.29545,0.94818,6.91298e-05,6.91298e-05,6.91298e-05
33,1494.66,0.00451,1.51817,0.97577,0.02857,0.04762,0.02543,0.0178,0.00384,5.22539,0.9529,6.55856e-05,6.55856e-05,6.55856e-05
34,1539.59,0.0046,1.43933,0.99104,0.02857,0.04762,0.0334,0.02338,0.00394,5.1227,0.95416,6.20414e-05,6.20414e-05,6.20414e-05
35,1584.57,0.00466,1.4244,0.97822,0.05357,0.11905,0.06253,0.05031,0.00402,5.0785,0.95237,5.84972e-05,5.84972e-05,5.84972e-05
36,1629.46,0.00421,1.40178,0.97319,0.03968,0.11905,0.05294,0.04181,0.00419,5.05357,0.94533,5.4953e-05,5.4953e-05,5.4953e-05
37,1674.46,0.00472,1.47527,0.96937,0.03968,0.11905,0.04705,0.03651,0.00416,5.05797,0.94431,5.14088e-05,5.14088e-05,5.14088e-05
38,1719.93,0.00445,1.38906,0.98406,0.03968,0.11905,0.03907,0.03092,0.00415,5.10086,0.95255,4.78646e-05,4.78646e-05,4.78646e-05
39,1764.69,0.00467,1.27159,0.99734,0.01587,0.04762,0.02122,0.01697,0.00415,5.09358,0.95841,4.43204e-05,4.43204e-05,4.43204e-05
40,1809.69,0.00456,1.36466,0.98979,0.01786,0.04762,0.01789,0.01431,0.00412,5.13749,0.96324,4.07762e-05,4.07762e-05,4.07762e-05
41,1854.46,0.00348,1.5067,0.92331,0.02041,0.04762,0.01634,0.01307,0.00411,5.15179,0.95855,3.7232e-05,3.7232e-05,3.7232e-05
42,1899.3,0.00407,1.56816,0.95139,0,0,0,0,0.00418,5.13829,0.96361,3.36878e-05,3.36878e-05,3.36878e-05
43,1944.2,0.00357,1.4275,0.95674,0,0,0,0,0.0042,5.1234,0.96151,3.01436e-05,3.01436e-05,3.01436e-05
44,1988.89,0.00326,1.4701,0.94094,0,0,0,0,0.00413,5.18867,0.9551,2.65994e-05,2.65994e-05,2.65994e-05
45,2033.56,0.0035,1.41382,0.93634,0.02857,0.04762,0.01905,0.01524,0.00409,5.24675,0.94747,2.30552e-05,2.30552e-05,2.30552e-05
46,2078.46,0.00325,1.3031,0.88542,0.02857,0.04762,0.02543,0.0178,0.00397,5.39604,0.93777,1.9511e-05,1.9511e-05,1.9511e-05
47,2123.17,0.00344,1.27398,0.95862,0.02857,0.04762,0.02543,0.02034,0.00388,5.47931,0.93323,1.59668e-05,1.59668e-05,1.59668e-05
48,2167.99,0.00353,1.25332,0.92842,0.05714,0.11905,0.04686,0.03963,0.00375,5.56815,0.92555,1.24226e-05,1.24226e-05,1.24226e-05
49,2212.74,0.00378,1.32196,0.95171,0.05714,0.11905,0.04686,0.03963,0.00373,5.59182,0.92334,8.8784e-06,8.8784e-06,8.8784e-06
50,2257.38,0.00322,1.24094,0.90785,0.05714,0.11905,0.04686,0.03963,0.00369,5.6144,0.92147,5.3342e-06,5.3342e-06,5.3342e-06
